DEBUG:root:[1583131353380];
DEBUG:root:[1583133386650]X:355;Y:362;Z:437;V:360;
DEBUG:root:[1583133386674]X:356;Y:362;Z:436;V:547;
DEBUG:root:[1583133386703]X:356;Y:363;Z:432;V:368;
DEBUG:root:[1583133386731]X:353;Y:386;Z:422;V:396;
DEBUG:root:[1583133386757]X:354;Y:363;Z:432;V:526;
DEBUG:root:[1583133386785]X:344;Y:363;Z:439;V:348;
DEBUG:root:[1583133386810]X:364;Y:366;Z:438;V:432;
DEBUG:root:[1583133386841]X:363;Y:359;Z:437;V:519;
DEBUG:root:[1583133386867]X:360;Y:365;Z:432;V:332;
DEBUG:root:[1583133386891]X:358;Y:368;Z:425;V:474;
DEBUG:root:[1583133386921]X:359;Y:364;Z:442;V:501;
DEBUG:root:[1583133386945]X:360;Y:368;Z:440;V:330;
DEBUG:root:[1583133386974]X:367;Y:367;Z:442;V:505;
DEBUG:root:[1583133387002]X:361;Y:368;Z:443;V:467;
DEBUG:root:[1583133387027]X:363;Y:373;Z:442;V:340;
DEBUG:root:[1583133387055]X:363;Y:369;Z:445;V:524;
DEBUG:root:[1583133387080]X:360;Y:366;Z:439;V:427;
DEBUG:root:[1583133387108]X:359;Y:365;Z:440;V:356;
DEBUG:root:[1583133387137]X:360;Y:366;Z:439;V:533;
DEBUG:root:[1583133387162]X:359;Y:366;Z:436;V:397;
DEBUG:root:[1583133387191]X:359;Y:365;Z:440;V:379;
DEBUG:root:[1583133387215]X:359;Y:365;Z:439;V:515;
DEBUG:root:[1583133387244]X:359;Y:365;Z:439;V:375;
DEBUG:root:[1583133387272]X:359;Y:366;Z:438;V:415;
DEBUG:root:[1583133387297]X:362;Y:369;Z:398;V:518;
DEBUG:root:[1583133387325]X:363;Y:372;Z:444;V:366;
DEBUG:root:[1583133387351]X:359;Y:362;Z:442;V:451;
DEBUG:root:[1583133387379]X:361;Y:364;Z:441;V:494;
DEBUG:root:[1583133387408]X:361;Y:368;Z:445;V:359;
DEBUG:root:[1583133387434]X:364;Y:370;Z:444;V:474;
DEBUG:root:[1583133387462]X:364;Y:367;Z:446;V:473;
DEBUG:root:[1583133387485]X:363;Y:372;Z:446;V:358;
DEBUG:root:[1583133387515]X:367;Y:372;Z:446;V:499;
DEBUG:root:[1583133387542]X:367;Y:367;Z:443;V:448;
DEBUG:root:[1583133387568]X:360;Y:367;Z:448;V:364;
DEBUG:root:[1583133387596]X:363;Y:369;Z:443;V:508;
DEBUG:root:[1583133387621]X:367;Y:376;Z:394;V:424;
DEBUG:root:[1583133387649]X:360;Y:369;Z:453;V:382;
DEBUG:root:[1583133387678]X:365;Y:373;Z:441;V:512;
DEBUG:root:[1583133387702]X:359;Y:372;Z:453;V:390;
DEBUG:root:[1583133387731]X:360;Y:371;Z:447;V:397;
DEBUG:root:[1583133387755]X:360;Y:370;Z:445;V:511;
DEBUG:root:[1583133387785]X:363;Y:366;Z:444;V:368;
DEBUG:root:[1583133387812]X:375;Y:349;Z:432;V:426;
DEBUG:root:[1583133387838]X:358;Y:368;Z:439;V:510;
DEBUG:root:[1583133387866]X:362;Y:370;Z:454;V:361;
DEBUG:root:[1583133387892]X:360;Y:373;Z:438;V:465;
DEBUG:root:[1583133387919]X:361;Y:370;Z:441;V:498;
DEBUG:root:[1583133387948]X:362;Y:371;Z:446;V:303;
DEBUG:root:[1583133387972]X:361;Y:368;Z:442;V:478;
DEBUG:root:[1583133388001]X:361;Y:368;Z:451;V:473;
DEBUG:root:[1583133388026]X:358;Y:372;Z:446;V:287;
DEBUG:root:[1583133388055]X:363;Y:373;Z:441;V:496;
DEBUG:root:[1583133388083]X:361;Y:367;Z:441;V:419;
DEBUG:root:[1583133388108]X:365;Y:366;Z:441;V:288;
DEBUG:root:[1583133388136]X:361;Y:367;Z:441;V:575;
DEBUG:root:[1583133388162]X:365;Y:380;Z:443;V:396;
DEBUG:root:[1583133388190]X:362;Y:369;Z:442;V:317;
DEBUG:root:[1583133388219]X:361;Y:367;Z:445;V:643;
DEBUG:root:[1583133388243]X:367;Y:367;Z:441;V:360;
DEBUG:root:[1583133388272]X:359;Y:367;Z:440;V:370;
DEBUG:root:[1583133388296]X:361;Y:366;Z:447;V:610;
DEBUG:root:[1583133388325]X:354;Y:366;Z:446;V:336;
DEBUG:root:[1583133388353]X:357;Y:368;Z:441;V:426;
DEBUG:root:[1583133388378]X:359;Y:354;Z:439;V:483;
DEBUG:root:[1583133388406]X:370;Y:391;Z:480;V:327;
DEBUG:root:[1583133388432]X:363;Y:376;Z:468;V:428;
DEBUG:root:[1583133388460]X:370;Y:318;Z:456;V:386;
DEBUG:root:[1583133388489]X:345;Y:348;Z:412;V:312;
DEBUG:root:[1583133388513]X:350;Y:315;Z:398;V:409;
DEBUG:root:[1583133388542]X:348;Y:301;Z:410;V:402;
DEBUG:root:[1583133388566]X:351;Y:351;Z:473;V:379;
DEBUG:root:[1583133388596]X:361;Y:346;Z:493;V:482;
DEBUG:root:[1583133388620]X:347;Y:317;Z:413;V:405;
DEBUG:root:[1583133388649]X:349;Y:304;Z:423;V:374;
DEBUG:root:[1583133388677]X:355;Y:309;Z:417;V:442;
DEBUG:root:[1583133388702]X:351;Y:310;Z:431;V:372;
DEBUG:root:[1583133388730]X:344;Y:305;Z:428;V:380;
DEBUG:root:[1583133388755]X:351;Y:308;Z:419;V:451;
DEBUG:root:[1583133388783]X:348;Y:297;Z:427;V:374;
DEBUG:root:[1583133388812]X:346;Y:293;Z:392;V:387;
DEBUG:root:[1583133388837]X:348;Y:284;Z:384;V:431;
DEBUG:root:[1583133388866]X:348;Y:292;Z:431;V:377;
DEBUG:root:[1583133388890]X:350;Y:311;Z:389;V:404;
DEBUG:root:[1583133388919]X:347;Y:276;Z:360;V:392;
DEBUG:root:[1583133388947]X:348;Y:269;Z:374;V:277;
DEBUG:root:[1583133388973]X:356;Y:277;Z:401;V:362;
DEBUG:root:[1583133389000]X:358;Y:271;Z:388;V:231;
DEBUG:root:[1583133389026]X:362;Y:279;Z:386;V:254;
DEBUG:root:[1583133389054]X:358;Y:303;Z:375;V:356;
DEBUG:root:[1583133389083]X:366;Y:285;Z:340;V:172;
DEBUG:root:[1583133389107]X:369;Y:288;Z:357;V:229;
DEBUG:root:[1583133389136]X:366;Y:291;Z:359;V:330;
DEBUG:root:[1583133389160]X:365;Y:286;Z:351;V:128;
DEBUG:root:[1583133389190]X:352;Y:289;Z:361;V:163;
DEBUG:root:[1583133389217]X:341;Y:273;Z:361;V:244;
DEBUG:root:[1583133389243]X:342;Y:273;Z:375;V:268;
DEBUG:root:[1583133389271]X:346;Y:271;Z:365;V:307;
DEBUG:root:[1583133389296]X:351;Y:281;Z:386;V:245;
DEBUG:root:[1583133389324]X:364;Y:293;Z:377;V:289;
DEBUG:root:[1583133389353]X:366;Y:291;Z:370;V:329;
DEBUG:root:[1583133389377]X:369;Y:298;Z:384;V:369;
DEBUG:root:[1583133389406]X:372;Y:297;Z:384;V:331;
DEBUG:root:[1583133389431]X:350;Y:290;Z:368;V:361;
DEBUG:root:[1583133389460]X:351;Y:295;Z:353;V:389;
DEBUG:root:[1583133389489]X:353;Y:294;Z:376;V:342;
DEBUG:root:[1583133389513]X:341;Y:323;Z:367;V:352;
DEBUG:root:[1583133389543]X:383;Y:266;Z:388;V:357;
DEBUG:root:[1583133389566]X:358;Y:260;Z:351;V:319;
DEBUG:root:[1583133389595]X:347;Y:258;Z:365;V:377;
DEBUG:root:[1583133389624]X:353;Y:270;Z:365;V:355;
DEBUG:root:[1583133389648]X:352;Y:292;Z:376;V:342;
DEBUG:root:[1583133389677]X:366;Y:296;Z:377;V:395;
DEBUG:root:[1583133389701]X:351;Y:298;Z:383;V:363;
